,Index,Tweet,Hindi,English,Other
3534,3535,shweta/HI mamitni/HI izat/HI denay/HI walay/HI rape/EN nhe/HI krty/EN bharvay/HI ,"[('shweta', 'UNK'), ('izat', 'VM'), ('walay', 'VAUX'), ('nhe', 'VAUX'), ('bharvay', 'SYM')]",[],
3535,3536,padmavati/HI pr/EN film/EN banaoge/HI zinda/HI jala/EN denge/HI naak/HI kat/EN denge/HI aashram/HI mai/EN rape/EN karo/EN acid/EN attack/EN kro/HI koi/EN nahi/HI ,"[('padmavati', 'UNK'), ('zinda', 'VM'), ('denge', 'VAUX'), ('aashram', 'VAUX'), ('kro', 'VAUX'), ('nahi', 'SYM')]","[('film', 'NN'), ('kat', 'NN'), ('rape', 'NN'), ('acid', 'NN')]",
3536,3537,saal/HI phle/HI koi/EN peg/EN wala/HI amber/EN ek/EN saal/HI ki/EN ladki/HI ka/EN rape/EN kia/EN ab/EN kisi/HI ka/EN khoon/HI khol/HI rha/HI hain/EN kya/EN ,"[('saal', 'UNK'), ('wala', 'VM'), ('kisi', 'VAUX'), ('khoon', 'VAUX'), ('rha', 'SYM')]","[('koi', 'NN'), ('ek', 'NN'), ('ki', 'NN'), ('ka', 'NN'), ('kia', 'NN'), ('kya', 'NN')]",
3537,3538,tu/EN madras/EN chaap/HI jahil/HI ki/HI baat/HI krega/HI khud/HI ki/EN ammi/HI khala/EN behen/HI ka/EN rape/EN karta/HI hai/EN halala/HI karta/HI allah/EN chillane/HI wala/HI aatanki/HI hota/HI hain/EN aur/EN tu/EN hain/EN woh/HI aatanki/HI samjha/HI bete/EN ,"[('chaap', 'VAUX'), ('ki', 'CC'), ('krega', 'NNP'), ('karta', 'PSP'), ('halala', 'NN'), ('wala', 'VM'), ('hota', 'VAUX'), ('aatanki', 'SYM')]","[('tu', 'NN'), ('ki', 'NN'), ('khala', 'NN'), ('ka', 'NN'), ('allah', 'NN'), ('aur', 'NN'), ('hain', 'NN'), ('bete', 'NN')]",
3538,3539,didi/EN hate/EN toh/HI bhi/HI karte/HI hain/EN unpe/HI kuch/HI comment/EN karoge/HI ,"[('toh', 'UNK'), ('karte', 'VM'), ('unpe', 'SYM')]","[('didi', 'JJ'), ('comment', 'NN')]",
3539,3540,in/EN behenc/EN do/EN ke/EN ghar/HI pe/EN hi/EN adhe/HI rape/EN hote/HI hai/EN jo/EN report/EN nahi/HI hote/HI honge/HI aur/EN ye/EN dusro/HI ke/EN ghar/HI pe/EN jhakte/HI he/EN chaman/HI c/EN ,"[('ghar', 'UNK'), ('hote', 'VM'), ('dusro', 'VAUX'), ('ghar', 'VAUX'), ('jhakte', 'VAUX'), ('chaman', 'SYM')]","[('in', 'IN'), ('do', 'VBP'), ('hi', 'JJ'), ('rape', 'NN'), ('hai', 'JJ'), ('report', 'NN'), ('aur', 'NN')]",
3540,3541,bina/EN deepika/HI kabhi/HI c/EN nahi/HI dekhe/HI chadarmod/HI ne/EN tiger/EN ne/EN hakle/HI ke/EN career/EN ka/EN rape/EN kar/HI diya/HI din/EN me/EN aur/EN tu/EN atg/EN ka/EN moot/EN pee/EN raha/HI tere/HI star/EN ko/EN bol/EN ek/EN clean/EN hit/EN deke/HI dikhaye/HI chakke/HI ,"[('kabhi', 'UNK'), ('nahi', 'VM'), ('chadarmod', 'VAUX'), ('hakle', 'VAUX'), ('diya', 'VAUX'), ('tere', 'VAUX'), ('dikhaye', 'SYM')]","[('bina', 'NN'), ('tiger', 'NN'), ('career', 'NN'), ('rape', 'NN'), ('me', 'PRP'), ('tu', 'JJ'), ('ka', 'FW'), ('pee', 'NN'), ('ko', 'FW'), ('ek', 'NN'), ('hit', 'VBD')]",
3541,3542,modi/HI ne/EN kon/EN sa/EN promise/EN poora/HI kiya/HI ab/EN tak/HI kitne/HI sainik/HI mare/EN kitni/HI ladki/HI ka/EN rape/EN hua/EN kitne/HI log/EN vaise/HI he/EN maar/HI diye/HI gaye/EN note/EN banddi/HI me/EN log/EN maare/HI gaye/EN in/EN sab/HI pe/EN white/EN paper/EN tera/HI chacha/HI nikaalega/HI ,"[('modi', 'QFC'), ('kiya', 'QF'), ('tak', 'NN'), ('sainik', 'PSP'), ('kitni', 'NN'), ('diye', 'VM'), ('maare', 'VM'), ('chacha', 'VM')]","[('kon', 'NNS'), ('promise', 'VBP'), ('ka', 'NN'), ('hua', 'NN'), ('log', 'NN'), ('he', 'PRP'), ('note', 'VB'), ('me', 'PRP'), ('in', 'IN'), ('pe', 'JJ'), ('paper', 'NN')]",
3542,3543,yasss/EN power/EN of/EN hina/EN fans/EN proud/EN to/EN be/EN one/EN of/EN them/EN churan/HI patliya/HI darr/HI gaya/HI aukat/HI nahi/HI hai/EN uski/HI ki/EN itne/HI fans/EN ho/EN uske/HI infct/EN uske/HI fans/EN hi/EN usko/HI ab/EN hate/EN kar/HI rahe/HI hai/EN unhone/HI b/EN zillat/HI k/EN laddu/HI khilaye/HI hai/EN ,"[('patliya', 'QFC'), ('gaya', 'QF'), ('nahi', 'NN'), ('uski', 'PSP'), ('itne', 'NN'), ('usko', 'VM'), ('rahe', 'VAUX'), ('unhone', 'VAUX'), ('zillat', 'VAUX'), ('laddu', 'SYM')]","[('yasss', 'NN'), ('of', 'IN'), ('fans', 'NNS'), ('to', 'TO'), ('one', 'CD'), ('them', 'PRP'), ('ho', 'VB'), ('infct', 'JJ'), ('fans', 'NNS'), ('hate', 'VBP'), ('hai', 'NNS')]",
3543,3544,ek/EN hota/EN he/EN hate/EN or/EN ek/EN hota/HI he/EN love/EN love/EN ki/EN nazar/HI to/EN he/EN shilpa/HI ji/EN ,"[('hota', 'QO'), ('shilpa', 'NN')]","[('ek', 'NN'), ('he', 'PRP'), ('or', 'CC'), ('love', 'VB'), ('ki', 'NN'), ('to', 'TO')]",
3544,3545,bki/EN hate/EN ho/EN wo/EN hate/EN wala/HI nazar/HI kiske/HI lya/EN he/EN yea/EN samajh/HI ne/EN k/EN lya/EN app/EN kafi/HI samajhdar/HI he/EN ,"[('nazar', 'RBC'), ('kafi', 'SYM')]","[('bki', 'NN'), ('ho', 'NN'), ('hate', 'NN'), ('lya', 'NN'), ('yea', 'NN'), ('ne', 'NN'), ('lya', 'NN'), ('he', 'PRP')]",
3545,3546,chup/HI kar/HI kya/EN kuch/HI nhi/HI boli/HI shilpa/HI se/EN uski/HI baad/HI v/EN woh/HI chup/HI rahi/HI thi/EN aur/EN tumhe/HI khana/HI di/EN thi/EN hate/EN u/EN never/EN want/EN to/EN see/EN u/EN again/EN ,"[('chup', 'QFC'), ('nhi', 'QF'), ('shilpa', 'NN'), ('uski', 'VM'), ('chup', 'VAUX'), ('tumhe', 'SYM')]","[('kya', 'NN'), ('v', 'NN'), ('thi', 'NN'), ('di', 'NN'), ('hate', 'NN'), ('never', 'RB'), ('to', 'TO'), ('u', 'VB')]",
3546,3547,ye/EN terrorism/EN toh/EN band/EN karoge/HI lekin/HI ye/EN feminist/EN ke/EN aatank/HI se/EN kaise/HI bachoge/HI ,"[('karoge', 'RBC'), ('bachoge', 'SYM')]","[('ye', 'NN'), ('toh', 'NN'), ('ye', 'NN'), ('ke', 'NN'), ('se', 'NN')]",
3547,3548,pyaar/HI sai/EN hate/EN kertay/EN hain/EN na/EN ,"[('pyaar', 'INJ')]","[('hate', 'NN'), ('hain', 'NN')]",
3548,3549,international/EN media/EN ne/EN sahi/HI survey/EN kiya/HI ha/EN k/EN bharat/HI me/EN hr/EN mint/EN me/EN ak/EN auret/EN ka/EN rape/EN hota/HI ha/EN so/EN ap/EN k/EN baat/HI or/EN wording/EN se/EN yaqeen/HI ho/EN gea/EN k/EN kia/EN respect/EN deity/EN or/EN kis/EN trah/EN se/EN female/EN k/EN sath/HI ap/EN log/EN baat/HI krty/EN ha/EN choro/HI abi/HI ki/EN baat/HI kro/HI kl/EN kis/EN ne/EN dekha/HI hm/EN abi/HI invite/EN kre/EN ha/EN ajao/HI ,"[('bharat', 'UNK'), ('baat', 'VM'), ('yaqeen', 'VAUX'), ('baat', 'VAUX'), ('abi', 'VAUX'), ('baat', 'SYM')]","[('international', 'JJ'), ('ne', 'NN'), ('survey', 'NN'), ('ha', 'NN'), ('hr', 'VB'), ('me', 'PRP'), ('auret', 'JJ'), ('rape', 'NN'), ('ha', 'NN'), ('ap', 'NN'), ('wording', 'VBG'), ('gea', 'JJ'), ('kia', 'JJ'), ('deity', 'NN'), ('kis', 'NN'), ('se', 'NN'), ('k', 'NN'), ('ap', 'IN'), ('ha', 'NN'), ('kl', 'NN'), ('ne', 'JJ'), ('hm', 'NN'), ('invite', 'NN'), ('ha', 'NN')]",
3549,3550,iska/HI to/EN rape/EN bhi/HI hona/HI chahye/HI tha/EN dehli/HI mai/EN ,"[('iska', 'RBC'), ('hona', 'SYM')]","[('rape', 'NN'), ('tha', 'NN'), ('mai', 'NN')]",
3550,3551,yaar/HI ye/EN heena/EN ro/EN ko/EN bula/HI rahi/HI hai/EN lekin/HI awaz/HI se/EN poori/HI dunia/EN ke/EN kaan/HI band/EN krwa/HI rahi/HI hai/EN kaisi/HI pagal/HI hai/EN yaar/HI ye/EN i/EN hate/EN her/EN bhot/HI jyada/HI gandi/HI gali/HI aa/EN rahi/HI hai/EN is/EN pagal/HI ko/EN dekhkr/HI ,"[('yaar', 'QFC'), ('rahi', 'QF'), ('lekin', 'NN'), ('kaan', 'PSP'), ('krwa', 'NN'), ('pagal', 'PSP'), ('yaar', 'NN'), ('jyada', 'VM'), ('gali', 'VAUX'), ('rahi', 'SYM')]","[('heena', 'NN'), ('ko', 'NN'), ('se', 'NN'), ('dunia', 'NN'), ('hai', 'NN'), ('i', 'NN'), ('her', 'PRP$'), ('is', 'VBZ'), ('ko', 'JJ')]",
3551,3552,apko/HI sirf/HI glass/EN shield/EN itni/HI takleef/HI de/EN rahi/HI hy/EN us/EN terrorism/EN ka/EN kya/EN jo/EN #kalbhushanjadhav/OTHER ne/EN pak/EN me/EN kiya/HI un/EN maaon/HI aur/EN biviun/EN ka/EN kya/EN shame/EN on/EN u/EN ,"[('apko', 'UNK'), ('itni', 'VM'), ('kiya', 'VAUX'), ('maaon', 'SYM')]","[('glass', 'NN'), ('de', 'IN'), ('hy', 'FW'), ('terrorism', 'NN'), ('kya', 'FW'), ('pak', 'NN'), ('biviun', 'NN'), ('kya', 'NN'), ('on', 'IN')]",#kalbhushanjadhav
3552,3553,tu/EN karwa/HI suwar/HI ki/HI aulad/HI hai/EN suwar/HI ne/EN rape/EN kiya/HI tha/EN teri/EN ammi/HI ka/EN apni/HI soch/HI gandu/HI allahchodi/HI ,"[('suwar', 'UNK'), ('aulad', 'VM'), ('suwar', 'VAUX'), ('ammi', 'VAUX'), ('apni', 'VAUX'), ('gandu', 'SYM')]","[('tu', 'NN'), ('rape', 'NN'), ('tha', 'NN')]",
3553,3554,kulbhushan/HI jadhav/HI ji/EN ki/EN family/EN ko/EN lautate/HI waqt/HI wait/EN karna/HI padha/HI coz/EN jo/EN #car/OTHER #driver/OTHER service/EN k/EN liye/HI appointed/EN tha/EN vo/EN #land/OTHER of/EN #terrorism/OTHER k/EN #terrorists/OTHER #camp/OTHER mai/EN gaya/HI hoga/HI ,"[('kulbhushan', 'UNK'), ('lautate', 'VM'), ('padha', 'VAUX'), ('gaya', 'SYM')]","[('ji', 'NNS'), ('family', 'NN'), ('wait', 'VBP'), ('jo', 'NN'), ('k', 'NN'), ('appointed', 'VBD'), ('vo', 'NN'), ('of', 'IN'), ('k', 'NN')]",#driver #camp
3554,3555,sheed/EN huwe/EN too/EN mar/EN gairaye/HI gee/EN dost/EN but/EN piche/HI nhi/HI hate/EN ge/EN pakistan/EN ka/EN baap/HI hai/EN india/EN aur/EN ushko/HI ek/EN din/EN jhukna/HI hoga/HI ,"[('gairaye', 'UNK'), ('piche', 'VM'), ('baap', 'VAUX'), ('ushko', 'VAUX'), ('hoga', 'SYM')]","[('sheed', 'VB'), ('too', 'RB'), ('dost', 'JJ'), ('hate', 'NN'), ('pakistan', 'NNS'), ('india', 'VBP'), ('din', 'NN')]",
3555,3556,aur/HI dosri/HI baat/HI kulbushan/HI jadhev/HI ajmal/HI qassab/HI hai/EN ajmal/HI qassab/HI tak/HI india/EN ne/EN access/EN di/EN oska/HI tu/EN yebi/EN nahi/HI pata/HI tha/EN pakistani/EN hai/EN ya/EN indian/EN hindu/EN hai/EN ya/EN muslim/EN kulbashan/HI terrorist/EN ne/EN tu/EN khod/HI bol/EN diya/HI me/EN terrorism/EN k/EN liye/HI kaam/HI karta/HI tha/EN ,"[('aur', 'QFC'), ('baat', 'QF'), ('jadhev', 'NN'), ('qassab', 'PSP'), ('ajmal', 'NN'), ('tak', 'VM'), ('nahi', 'VAUX'), ('kaam', 'SYM')]","[('ne', 'JJ'), ('di', 'NN'), ('tu', 'NN'), ('tha', 'NN'), ('hai', 'NN'), ('indian', 'JJ'), ('hai', 'NN'), ('muslim', 'JJ'), ('terrorist', 'JJ'), ('tu', 'NN'), ('bol', 'NN'), ('me', 'PRP'), ('k', 'VBZ'), ('tha', 'NN')]",
3556,3557,arshi/EN out/EN hoke/EN shirf/HI nagative/HI hi/EN bole/EN rahi/HI hai/EN now/EN i/EN hate/EN her/EN ,"[('nagative', 'INJ')]","[('arshi', 'JJ'), ('hoke', 'VBD'), ('bole', 'JJ'), ('hai', 'NN'), ('i', 'NN'), ('her', 'PRP$')]",
3557,3558,aisi/EN aurtain/EN hoti/EN hain/EN jo/EN jaan/HI boojh/HI k/EN rape/EN waalay/HI ilaqe/HI main/EN jaati/HI hain/EN pakistan/EN milgaya/HI toh/HI rape/EN kaise/HI hoga/HI aapka/HI ,"[('boojh', 'QFC'), ('ilaqe', 'QF'), ('jaati', 'NN'), ('toh', 'PSP'), ('kaise', 'WQ'), ('aapka', 'WQ')]","[('aisi', 'NN'), ('hoti', 'NN'), ('jo', 'NN'), ('rape', 'NN'), ('pakistan', 'NN')]",
3558,3559,gayo/HI jogi/HI to/EN gayo/HI waise/HI bhi/HI yeh/HI bahana/HI ban/EN jayega/HI par/EN who/EN likes/EN modi/HI or/EN jogi/HI say/EN dey/EN hate/EN them/EN ,"[('gayo', 'RBC'), ('waise', 'RB'), ('yeh', 'RB')]","[('to', 'TO'), ('ban', 'VB'), ('par', 'JJ'), ('likes', 'NNS'), ('or', 'CC'), ('say', 'VB'), ('hate', 'NN')]",
3559,3560,mi/EN tu/EN kisiko/EN hate/EN nhi/EN karti/HI kya/EN bigaada/HI hi/EN apna/HI ,"[('', 'INJ')]","[('mi', 'NN'), ('kisiko', 'NN'), ('nhi', 'JJ'), ('kya', 'NN'), ('hi', 'NN')]",
3560,3561,haha/EN so/EN so/EN so/EN true/EN aise/EN hi/EN nhi/HI i/EN say/EN ppl/EN aadhe/HI hina/HI karan/EN show/EN dekhte/HI hai/EN chahe/HI hate/EN hi/EN krte/HI ho/EN adhe/HI hina/HI karan/EN shows/EN mei/EN jare/HI hai/EN jinko/HI kutta/HI bhi/HI nhi/HI puchta/HI aur/EN mu/EN fer/EN ke/EN chla/HI jata/HI hai/EN hina/HI is/EN fab/EN ,"[('hina', 'UNK'), ('krte', 'VM'), ('adhe', 'VAUX'), ('kutta', 'VAUX'), ('nhi', 'VAUX'), ('chla', 'SYM')]","[('haha', 'NNS'), ('so', 'RB'), ('true', 'JJ'), ('hi', 'NN'), ('i', 'NN'), ('ppl', 'VBP'), ('show', 'NN'), ('hai', 'JJ'), ('hate', 'NN'), ('karan', 'VBD'), ('mei', 'JJ'), ('hai', 'NN'), ('aur', 'NN'), ('fer', 'NN'), ('hai', 'NN'), ('is', 'VBZ')]",
3561,3562,hindutva/HI ko/EN to/EN inka/EN baap/HI bhi/HI nahi/HI rok/EN sakta/HI aur/EN terrorism/EN ko/EN to/EN ye/EN useful/EN idiots/EN khud/HI badhava/HI dete/HI hain/EN ,"[('hindutva', 'NN'), ('baap', 'PSP'), ('nahi', 'NN'), ('sakta', 'VM'), ('khud', 'VAUX'), ('dete', 'VAUX')]","[('to', 'TO'), ('terrorism', 'NN'), ('to', 'TO'), ('useful', 'JJ')]",
3562,3563,milawat/HI tumhare/HI hui/HI hai/EN invaders/EN ke/EN rape/EN ke/EN dwara/HI ,"[('milawat', 'UNK'), ('hui', 'VM'), ('dwara', 'SYM')]","[('invaders', 'NNS'), ('rape', 'VBP')]",
3563,3564,she/EN is/EN just/EN sabji/HI me/EN dhaniya/HI i/EN just/EN hate/EN dhaniya/HI n/EN i/EN boycott/EN that/EN sabji/HI too/EN ,"[('sabji', 'INJ')]","[('she', 'PRP'), ('just', 'RB'), ('me', 'PRP'), ('i', 'JJ'), ('hate', 'VBP'), ('n', 'NNS'), ('boycott', 'NN')]",
3564,3565,haa/HI tumhe/HI toh/HI bakriyo/HI ka/EN aur/EN murgiyo/HI ka/EN rape/EN sikhaya/HI jata/HI hai/EN isiliye/HI tumhare/HI yahan/HI sirf/HI bakriyo/HI ke/EN hi/EN hospital/EN hai/EN baaki/HI sab/HI toh/HI bimar/HI paki/HI india/EN se/EN bhik/HI mangte/HI hai/EN visa/EN ke/EN liye/HI taaki/HI apna/HI ilaaz/HI yaha/HI aakar/HI kara/EN sake/EN ye/EN le/EN tere/HI liye/HI gifts/EN aur/EN inka/EN rape/EN karle/HI ,"[('haa', 'QFC'), ('toh', 'QF'), ('murgiyo', 'NN'), ('jata', 'PSP'), ('isiliye', 'NN'), ('yahan', 'PSP'), ('bakriyo', 'NN'), ('sab', 'PSP'), ('bimar', 'NN'), ('bhik', 'VM'), ('taaki', 'CC'), ('ilaaz', 'NNP'), ('aakar', 'NNP'), ('liye', 'PSP')]","[('ka', 'NN'), ('rape', 'NN'), ('hi', 'NN'), ('hai', 'NN'), ('india', 'NN'), ('hai', 'NN'), ('ke', 'NNS'), ('sake', 'VBP'), ('le', 'JJ'), ('aur', 'NN'), ('rape', 'NN')]",
3565,3566,humare/HI yaha/HI insaan/HI rape/EN hota/EN hain/EN aur/EN waha/HI bakri/HI gadha/HI kutte/HI deadbodies/EN khusre/HI sab/HI kuch/HI rape/EN hote/HI hain/EN dunia/EN haasti/HI hain/EN in/EN par/EN aur/EN yeh/HI tweeter/EN pe/EN aate/HI hain/EN fake/EN jihad/EN karne/HI are/EN iss/EN fake/EN jihad/EN se/EN bakri/HI nahi/HI milegi/HI phat/EN ke/EN nikal/HI ke/EN pic/EN twitter/EN com/EN ptokzdbyhd/HI ,"[('humare', 'QO'), ('insaan', 'NN'), ('bakri', 'PSP'), ('kutte', 'NN'), ('khusre', 'PSP'), ('kuch', 'NN'), ('hote', 'VM'), ('yeh', 'VAUX'), ('nahi', 'VAUX'), ('nikal', 'SYM')]","[('hota', 'NN'), ('aur', 'NN'), ('dunia', 'NN'), ('hain', 'NN'), ('par', 'NN'), ('pe', 'NN'), ('hain', 'NN'), ('jihad', 'NN'), ('are', 'VBP'), ('fake', 'JJ'), ('se', 'JJ'), ('phat', 'WP'), ('pic', 'VBP'), ('com', 'NN')]",
3566,3567,christmas/EN wish/EN karna/EN haram/EN hai/EN dance/EN haram/EN hai/EN music/EN haram/EN hai/EN chess/EN haram/EN hai/EN painting/EN haram/EN hai/EN biwi/HI ke/EN saath/HI photo/EN dalna/HI haram/EN hai/EN par/EN terrorism/EN halal/HI hai/EN kaffiro/HI ki/EN aurato/HI ka/EN rape/EN karna/HI halal/HI hai/EN gareeb/HI logo/EN se/EN zabardasti/HI islam/EN qabool/HI karana/HI halal/HI hai/EN ,"[('halal', 'UNK'), ('kaffiro', 'VM'), ('aurato', 'VAUX'), ('halal', 'VAUX'), ('gareeb', 'SYM'), ('karana', 'NNP')]","[('christmas', 'NN'), ('karna', 'NN'), ('hai', 'NN'), ('haram', 'NN'), ('music', 'NN'), ('hai', 'NN'), ('haram', 'NN'), ('painting', 'VBG'), ('hai', 'JJ'), ('ke', 'NN'), ('photo', 'NN'), ('haram', 'NN'), ('par', 'NN'), ('rape', 'NN'), ('se', 'FW'), ('islam', 'NN'), ('hai', 'NN')]",
3567,3568,india/EN is/EN dehati/HI peerzada/HI the/EN begger/EN of/EN america/EN ko/EN bulate/HI kyu/HI he/EN show/EN me/EN lehaz/HI nahi/HI he/EN baat/HI karne/HI ki/EN pakistani/EN o/EN se/EN aur/EN ummid/HI v/EN kya/EN kar/HI sakte/HI he/EN ye/EN log/EN to/EN terrorism/EN ke/EN liye/HI apne/HI maa/HI baap/HI biwi/HI bacche/HI ko/EN v/EN bech/HI sakte/HI he/EN ,"[('dehati', 'QFC'), ('kyu', 'QF'), ('lehaz', 'NN'), ('karne', 'PSP'), ('ummid', 'NN'), ('sakte', 'VM'), ('apne', 'VAUX'), ('baap', 'SYM'), ('bacche', 'RDP'), ('sakte', 'RDP')]","[('india', 'VB'), ('the', 'DT'), ('of', 'IN'), ('ko', 'NN'), ('show', 'NN'), ('he', 'PRP'), ('pakistani', 'VBZ'), ('se', 'JJ'), ('kya', 'NNS'), ('ye', 'VBP'), ('to', 'TO'), ('ke', 'VB'), ('v', 'NN')]",
3568,3569,haha/EN ek/EN din/EN baad/EN main/EN azaad/HI hone/EN wala/HI mulk/HI ab/EN rooti/HI kaa/HI tanna/HI mary/EN ga/EN ooo/EN bhai/HI thek/EN ha/EN tmre/EN haan/EN roti/HI ha/EN khate/HI ho/EN nahi/HI time/EN ki/EN pet/EN hagne/HI k/EN liye/HI urto/EN ka/EN kuch/HI kro/HI ghr/HI mn/EN bahar/HI ja/EN k/EN rape/EN krwa/HI k/EN aa/EN jati/HI hain/EN bechri/HI khane/HI ko/EN chor/HI hagne/HI ka/EN soch/HI beta/EN ,"[('mulk', 'QFC'), ('rooti', 'QF'), ('tanna', 'NN'), ('bhai', 'PSP'), ('kuch', 'NN'), ('ghr', 'PSP'), ('bahar', 'NN'), ('krwa', 'VM'), ('khane', 'VAUX'), ('chor', 'SYM')]","[('haha', 'NN'), ('din', 'NN'), ('main', 'JJ'), ('hone', 'NN'), ('ga', 'NN'), ('ha', 'NN'), ('haan', 'NN'), ('ha', 'NN'), ('ho', 'NN'), ('time', 'NN'), ('pet', 'JJ'), ('k', 'NN'), ('urto', 'JJ'), ('k', 'NN'), ('aa', 'NN'), ('hain', 'NN'), ('ka', 'NN'), ('beta', 'NN')]",
3569,3570,saal/HI kia/EN hai/EN bhai/HI tere/HI ram/EN bhagwan/HI ne/EN to/EN sal/EN ki/EN sita/HI ka/EN rape/EN kia/EN tha/EN ramayana/EN ka/EN aranneya/HI khund/HI kabhi/HI padh/HI lena/EN ,"[('saal', 'UNK'), ('tere', 'VM'), ('bhagwan', 'VAUX'), ('aranneya', 'VAUX'), ('kabhi', 'SYM')]","[('hai', 'NN'), ('to', 'TO'), ('ki', 'VB'), ('ka', 'FW'), ('kia', 'FW'), ('ramayana', 'FW'), ('lena', 'NN')]",
3570,3571,logic/EN chutti/HI apni/HI jagah/HI hai/EN or/EN hate/EN apni/HI ,"[('apni', 'INJ')]","[('logic', 'JJ'), ('hai', 'NN'), ('hate', 'NN')]",
3571,3572,puneesh/HI is/EN really/EN very/EN bad/EN person/EN insaniyat/HI hain/EN hi/EN nahi/HI usmei/HI vikas/EN ne/EN usko/HI yaha/HI tak/HI laya/HI varna/HI vo/EN kab/HI ka/EN eliminate/EN ho/EN jata/HI hiten/EN ke/EN jage/HI voh/HI jata/HI hate/EN him/EN #lostboy/OTHER #vikasguptaftw/OTHER ,"[('puneesh', 'QO'), ('insaniyat', 'NN'), ('usmei', 'PSP'), ('yaha', 'DEM'), ('laya', 'NN'), ('jage', 'VM'), ('jata', 'VM')]","[('really', 'RB'), ('bad', 'JJ'), ('hi', 'NN'), ('ne', 'NN'), ('vo', 'NN'), ('ka', 'NN'), ('ho', 'NN'), ('hiten', 'VBD'), ('him', 'PRP')]",#vikasguptaftw
3572,3573,rape/EN toh/HI tum/HI janti/HI ho/EN sab/HI se/EN jada/EN porkistan/HI mein/EN hota/HI hai/EN baap/HI apni/HI beti/HI ka/EN beta/EN ami/EN ka/EN and/EN yeh/HI sab/HI allowed/EN hai/EN tum/HI khud/HI janti/HI ho/EN tum/HI kitni/HI baar/HI so/EN chukie/HI ho/EN abba/EN ke/EN sath/HI porki/HI ho/EN yaa/HI rape/EN yaa/HI terrorism/EN aur/EN kuch/HI hai/EN karne/HI ko/EN tumhare/HI neech/HI desh/HI mein/EN ,"[('tum', 'QFC'), ('porkistan', 'QF'), ('hota', 'NN'), ('baap', 'PSP'), ('beti', 'NN'), ('yeh', 'PSP'), ('tum', 'NN'), ('janti', 'PSP'), ('tum', 'NN'), ('baar', 'PSP'), ('chukie', 'NN'), ('sath', 'PSP'), ('kuch', 'NN'), ('karne', 'VM'), ('tumhare', 'VAUX'), ('desh', 'SYM')]","[('rape', 'NN'), ('ho', 'NN'), ('se', 'NN'), ('beta', 'NN'), ('ka', 'NN'), ('allowed', 'VBD'), ('abba', 'JJ'), ('ho', 'NN'), ('rape', 'NN'), ('terrorism', 'NN')]",
3573,3574,toh/EN tu/EN mahabharat/HI q/EN padh/HI raha/HI hain/EN quran/EN padh/HI allah/EN chilla/HI aur/EN maar/HI de/EN hum/EN logo/EN ko/EN aur/EN rapist/EN jesa/EN sal/EN ki/EN ladkiyo/HI se/EN rape/EN kar/HI ,"[('mahabharat', 'UNK'), ('padh', 'VM'), ('padh', 'VAUX'), ('chilla', 'VAUX'), ('maar', 'VAUX'), ('ladkiyo', 'SYM')]","[('toh', 'NN'), ('hain', 'NN'), ('hum', 'NN'), ('ko', 'FW'), ('rapist', 'NN'), ('sal', 'NN'), ('rape', 'NN')]",
3574,3575,u/EN might/EN wanna/EN die/EN coz/EN porki/HI can/EN t/EN even/EN get/EN well/EN porki/HI pana/HI aur/EN terrorism/EN tumhare/HI core/EN mein/EN hai/EN tum/HI log/EN har/EN jaga/HI innocent/EN ko/EN kill/EN kar/HI rahe/HI ho/EN so/EN plz/EN marjaao/HI aur/EN apne/HI abu/EN ko/EN bhi/HI mardo/HI take/EN aur/EN dhadewali/HI na/EN peda/HI kare/HI ,"[('pana', 'UNK'), ('jaga', 'VM'), ('kar', 'VAUX'), ('bhi', 'VAUX'), ('dhadewali', 'VAUX'), ('peda', 'SYM')]","[('u', 'JJ'), ('wan', 'NN'), ('na', 'IN'), ('coz', 'NN'), ('can', 'MD'), ('even', 'RB'), ('well', 'RB'), ('terrorism', 'NN'), ('core', 'NN'), ('hai', 'NN'), ('log', 'NN'), ('ko', 'VBD'), ('ho', 'JJ'), ('plz', 'NN'), ('aur', 'NN'), ('abu', 'NNS'), ('take', 'VBP')]",
3575,3576,yeh/HI gana/HI kyu/HI end/EN nahi/HI ho/EN raha/HI i/EN may/EN hate/EN these/EN songs/EN like/EN moh/HI moh/HI ,"[('yeh', 'QFC'), ('kyu', 'QF'), ('nahi', 'NN'), ('raha', 'VM'), ('moh', 'VM')]","[('may', 'MD'), ('these', 'DT'), ('like', 'VB')]",
3576,3577,shadi/HI main/EN nachay/EN na/EN nachay/HI lekin/HI tum/HI logon/EN say/EN behtar/HI hai/EN wo/EN kia/EN kehtay/HI hain/EN tumhare/HI desh/HI ko/EN rapistan/HI where/EN rape/EN is/EN allowed/EN hahahhaha/EN ,"[('shadi', 'UNK'), ('nachay', 'VM'), ('tum', 'VAUX'), ('desh', 'VAUX'), ('rapistan', 'SYM')]","[('nachay', 'NNS'), ('say', 'VBP'), ('hai', 'JJ'), ('kia', 'NN'), ('hain', 'NN'), ('rape', 'NN'), ('allowed', 'VBD')]",
